holderAddress,holderName,holderImg,coinType,coinDenom,holderSecurityMessage,amount,usdAmount,percentage,objectsCount
0x85e31ac2d290e86189871782ef27e87c1128e3c46beabe46739dfa1cc75d08c7,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,3066806894.53141,33366.859012501736,0.003451492144366976,3
0x0506154e79198c6c1ea1bb6e64a30f7d55edc165d07e50e57b502665d762266c,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,192793322.36179,2097.591347296275,0.00021697637331019538,3
0x51513ebc5f1fdaac3f0e7c9351fc0811be2afbe64b7457efa08f97a828e99dc5,@sheqilljf,https://storage.googleapis.com/suins-nft-images/QmaLFg4tQYansFpyRqmDfABdkUVy66dHtpnkH15v1LPzcY.png,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,184014210.41057,2002.0746092670015,0.00020709605251523905,3
0x13703c49ce87ff9737eeea3aa11ec0f773e3a7bf532a639af729414fcdb1421f,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,113821083.02273,1238.3733832873022,0.0001280982427086657,43
0x9d5ef0b7867be5cf18ec11905840f5275ea3810cb63b6161df6b817dc995c7d9,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,36834585.24422,400.7602874571136,4.145493537207742e-05,1
0x30ba3b11de1c7580fcb10871a610ecdd2a25fe1a84a28842206d31e7339d3879,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,28114567.92232,305.8864989948416,3.164112174757125e-05,1
0xba20b12ed09da798e2ecce28afd90ee13df22fb97215da7eafaad299bb9a7185,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,25913307.20196,281.9367823573248,2.916374565402787e-05,2
0x9c09cbf51e617889d2c21597f66bfc40e6a32d7922e4a8d070088f586369c801,@maheshgadi,https://storage.googleapis.com/suins-nft-images/QmaLFg4tQYansFpyRqmDfABdkUVy66dHtpnkH15v1LPzcY.png,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,25871358.55584,281.4803810875392,2.911653517500874e-05,17
0xd6414a8fad369cb3f9937666b5747c12a56346791a8551e5df67215cfa24da60,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,13766388.38789,149.77830566024318,1.54931767832637e-05,2
0xff32743c6392e8be99fbc7e1137ebe14e05e7a556dcc772d6e2afe452ca6e4b7,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,10150283.56446,110.4350851813248,1.142348546571396e-05,1
